Completed,Organism_s,Assay_Type_s,AvgSpotLen_l,BioProject_s,BioSample_s,Experiment_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,Library_Name_s,LoadDate_s,MBases_l,MBytes_l,Platform_s,ReleaseDate_s,Run_s,SRA_Sample_s,SRA_Study_s,Sample_Name_s,age_s,dev_stage_s,geo_loc_name_s,isolate_s,sex_s,tissue_s,Consent_s
Yes,Bombina bombina,RNA-Seq,347,PRJEB7348,SAMEA3904732,ERX1404240,0,454 GS FLX,SINGLE,RANDOM,TRANSCRIPTOMIC,unspecified,4/7/2016,228,146,LS454,3/26/2016,ERR1332648,ERS1091866,ERP007062,Bombina bombina 454 sample,,Adult,,,,,public
Yes,Bombina bombina,RNA-Seq,202,PRJEB7348,SAMEA2781656,ERX588990,400,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,unspecified,1/29/2015,9081,6552,ILLUMINA,1/28/2015,ERR632222,ERS551403,ERP007062,B_bombina1,,Adult,,,,,public
Yes,Bombina maxima,RNA-Seq,180,PRJNA174732,SAMN01163555,SRX185157,0,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,,10/25/2013,4766,3127,ILLUMINA,8/16/2013,SRR566619,SRS361661,SRP015658,skin01,,,,,,,public
Yes,Bombina maxima,RNA-Seq,180,PRJNA174732,SAMN01163557,SRX185159,0,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,,10/25/2013,4717,3117,ILLUMINA,8/16/2013,SRR566659,SRS361663,SRP015658,blood 01,,,,,,,public
Yes,Bombina orientalis,RNA-Seq,202,PRJEB7351,SAMEA2781659,ERX588993,400,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,unspecified,1/31/2015,9041,6536,ILLUMINA,1/28/2015,ERR632225,ERS551406,ERP007065,B_orientalis1,,Adult,,,,,public
Yes,Bombina variegata scabra,RNA-Seq,202,PRJEB7350,SAMEA2781658,ERX588992,400,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,unspecified,1/29/2015,6620,4783,ILLUMINA,1/28/2015,ERR632224,ERS551405,ERP007064,B_v_scabra1,,Adult,,,,,public
Yes,Bombina variegata variegata,RNA-Seq,341,PRJEB7349,SAMEA3904733,ERX1404241,0,454 GS FLX,SINGLE,RANDOM,TRANSCRIPTOMIC,unspecified,4/7/2016,207,135,LS454,3/26/2016,ERR1332649,ERS1091867,ERP007063,Bombina variegata variegata 454 sample,,Adult,,,,,public
Yes,Bombina variegata variegata,RNA-Seq,202,PRJEB7349,SAMEA2781657,ERX588991,400,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,unspecified,1/29/2015,10653,7676,ILLUMINA,1/28/2015,ERR632223,ERS551404,ERP007063,B_v_variegata1,,Adult,,,,,public
No,Bufo bufo,RNA-Seq,251,PRJNA378697,SAMN06560023,SRX2640684,0,Illumina HiSeq 2500,PAIRED,PCR,TRANSCRIPTOMIC,torpid males,3/15/2017,5143,1725,ILLUMINA,3/15/2017,SRR5344008,SRS2048258,SRP101906,torpid males,,adult,,,male,liver,public
No,Bufo bufo,RNA-Seq,251,PRJNA378697,SAMN06560022,SRX2640685,0,Illumina HiSeq 2500,PAIRED,PCR,TRANSCRIPTOMIC,torpid females,3/15/2017,5175,1733,ILLUMINA,3/15/2017,SRR5344009,SRS2048259,SRP101906,torpid females,,adult,,,female,liver,public
No,Bufo bufo,RNA-Seq,251,PRJNA378697,SAMN06559900,SRX2640686,0,Illumina HiSeq 2500,PAIRED,PCR,TRANSCRIPTOMIC,active males,3/15/2017,6161,2492,ILLUMINA,3/15/2017,SRR5344010,SRS2048260,SRP101906,active males,,adult,,,male,adult,public
No,Bufo bufo,RNA-Seq,251,PRJNA378697,SAMN06558991,SRX2640687,0,Illumina HiSeq 2500,PAIRED,PCR,TRANSCRIPTOMIC,active females,3/15/2017,4998,1908,ILLUMINA,3/15/2017,SRR5344011,SRS2048261,SRP101906,active females,,adult,,,female,liver,public
No,Bufo gargarizans,RNA-Seq,297,PRJNA378718,SAMN06562575,SRX2640691,0,Illumina HiSeq 4000,PAIRED,size fractionation,TRANSCRIPTOMIC,CP,3/15/2017,18328,7074,ILLUMINA,3/15/2017,SRR5344015,SRS2048265,SRP101908,B. gargarizans,not applicable,adult,China:Chongqing,not applicable,pooled male and female,skin,public
No,Bufotes viridis,RNA-Seq,200,PRJNA292872,SAMN03993917,SRX1149807,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,BvTrans,8/14/2015,2138,1292,ILLUMINA,5/27/2016,SRR2163277,SRS1034407,SRP062416,Bv_GR57,,adult,Greece: south of Astros,single male,male,"liver, eye, brain, testes, heart, sceletal muscle",public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012585,SRX689249,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,1732,1172,ILLUMINA,8/28/2015,SRR1560901,SRS691744,SRP045866,Craugastor fitzingeri 4 skin control,not collected,,,,not collected,skin,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012586,SRX689256,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,1546,1042,ILLUMINA,8/28/2015,SRR1560902,SRS691751,SRP045866,Craugastor fitzingeri 9 skin infected,not collected,,,,not collected,skin,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012587,SRX689257,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2115,1425,ILLUMINA,8/28/2015,SRR1560903,SRS691752,SRP045866,Craugastor fitzingeri 11 skin infected,not collected,,,,not collected,skin,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012588,SRX689258,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2440,1647,ILLUMINA,8/28/2015,SRR1560904,SRS691753,SRP045866,Craugastor fitzingeri 8 skin control,not collected,,,,not collected,skin,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012589,SRX689259,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2063,1391,ILLUMINA,8/28/2015,SRR1560905,SRS691754,SRP045866,Craugastor fitzingeri 1 skin control,not collected,,,,not collected,skin,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012590,SRX689260,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,1523,1025,ILLUMINA,8/28/2015,SRR1560906,SRS691755,SRP045866,Craugastor fitzingeri 10 skin infected,not collected,,,,not collected,skin,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012591,SRX689261,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,1983,1332,ILLUMINA,8/28/2015,SRR1560907,SRS691756,SRP045866,Craugastor fitzingeri 2 skin control,not collected,,,,not collected,skin,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012592,SRX689262,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,5435,3638,ILLUMINA,8/28/2015,SRR1560908,SRS691757,SRP045866,Craugastor fitzingeri 12 skin control,not collected,,,,not collected,skin,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012593,SRX689263,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2316,1554,ILLUMINA,8/28/2015,SRR1560909,SRS691758,SRP045866,Craugastor fitzingeri 18 skin infected,not collected,,,,not collected,skin,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012594,SRX689264,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2116,1428,ILLUMINA,8/28/2015,SRR1560910,SRS691759,SRP045866,Craugastor fitzingeri 14 skin infected,not collected,,,,not collected,skin,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012595,SRX689265,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2004,1347,ILLUMINA,8/28/2015,SRR1560911,SRS691760,SRP045866,Craugastor fitzingeri 1 spleen control,not collected,,,,not collected,spleen,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012596,SRX689266,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2266,1523,ILLUMINA,8/28/2015,SRR1560912,SRS691761,SRP045866,Craugastor fitzingeri 2 spleen control,not collected,,,,not collected,spleen,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012597,SRX689267,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,1706,1146,ILLUMINA,8/28/2015,SRR1560913,SRS691762,SRP045866,Craugastor fitzingeri 11 spleen infected,not collected,,,,not collected,spleen,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012598,SRX689268,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2234,1503,ILLUMINA,8/28/2015,SRR1560914,SRS691763,SRP045866,Craugastor fitzingeri 12 spleen control,not collected,,,,not collected,spleen,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012599,SRX689270,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,1762,1187,ILLUMINA,8/28/2015,SRR1560915,SRS691764,SRP045866,Craugastor fitzingeri 14 spleen infected,not collected,,,,not collected,spleen,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012600,SRX689271,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2329,1559,ILLUMINA,8/28/2015,SRR1560916,SRS691765,SRP045866,Craugastor fitzingeri 18 spleen infected,not collected,,,,not collected,spleen,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012601,SRX689272,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,3075,2057,ILLUMINA,8/28/2015,SRR1560917,SRS691766,SRP045866,Craugastor fitzingeri 10 spleen infected,not collected,,,,not collected,spleen,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012602,SRX689273,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,3269,2185,ILLUMINA,8/28/2015,SRR1560918,SRS691767,SRP045866,Craugastor fitzingeri 9 spleen infected,not collected,,,,not collected,spleen,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012603,SRX689274,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2323,1553,ILLUMINA,8/28/2015,SRR1560919,SRS691768,SRP045866,Craugastor fitzingeri 4 spleen control,not collected,,,,not collected,spleen,public
No,Craugastor fitzingeri,RNA-Seq,101,PRJNA259742,SAMN03012604,SRX689275,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,1652,1115,ILLUMINA,8/28/2015,SRR1560920,SRS691769,SRP045866,Craugastor fitzingeri 8 spleen control,not collected,,,,not collected,spleen,public
Yes,Cyclorana alboguttata,RNA-Seq,210,PRJNA177363,SAMN01815307,SRX206005,0,Illumina HiSeq 2000,PAIRED,unspecified,TRANSCRIPTOMIC,,11/27/2012,3624,2457,ILLUMINA,3/16/2013,SRR619482,SRS376453,SRP016086,Aestivator 10,,,Australia: Queensland,,,,public
Yes,Cyclorana alboguttata,RNA-Seq,210,PRJNA177363,SAMN01815300,SRX205680,0,Illumina HiSeq 2000,PAIRED,unspecified,TRANSCRIPTOMIC,,11/23/2012,5447,3667,ILLUMINA,3/16/2013,SRR619475,SRS376454,SRP016086,Control 1,,,Australia: Queensland,,,,public
Yes,Cyclorana alboguttata,RNA-Seq,210,PRJNA177363,SAMN01815301,SRX205682,0,Illumina HiSeq 2000,PAIRED,unspecified,TRANSCRIPTOMIC,,11/28/2012,4510,3010,ILLUMINA,3/16/2013,SRR619476,SRS376455,SRP016086,Control 2,,,Australia: Queensland,,,,public
Yes,Cyclorana alboguttata,RNA-Seq,210,PRJNA177363,SAMN01815302,SRX205683,0,Illumina HiSeq 2000,PAIRED,unspecified,TRANSCRIPTOMIC,,11/28/2012,6425,4319,ILLUMINA,3/16/2013,SRR619477,SRS376456,SRP016086,Control 6,,,Australia: Queensland,,,,public
Yes,Cyclorana alboguttata,RNA-Seq,210,PRJNA177363,SAMN01815303,SRX205684,0,Illumina HiSeq 2000,PAIRED,unspecified,TRANSCRIPTOMIC,,11/28/2012,4013,2705,ILLUMINA,3/16/2013,SRR619478,SRS376457,SRP016086,Control 8,,,Australia: Queensland,,,,public
Yes,Cyclorana alboguttata,RNA-Seq,210,PRJNA177363,SAMN01815304,SRX206002,0,Illumina HiSeq 2000,PAIRED,unspecified,TRANSCRIPTOMIC,,11/28/2012,5161,3457,ILLUMINA,3/16/2013,SRR619479,SRS376714,SRP016086,Aestivator 5,,,Australia: Queensland,,,,public
Yes,Cyclorana alboguttata,RNA-Seq,210,PRJNA177363,SAMN01815305,SRX206003,0,Illumina HiSeq 2000,PAIRED,unspecified,TRANSCRIPTOMIC,,11/29/2012,4912,3313,ILLUMINA,3/16/2013,SRR619480,SRS376715,SRP016086,Aestivator 8,,,Australia: Queensland,,,,public
Yes,Cyclorana alboguttata,RNA-Seq,210,PRJNA177363,SAMN01815306,SRX206004,0,Illumina HiSeq 2000,PAIRED,unspecified,TRANSCRIPTOMIC,,11/29/2012,5962,4001,ILLUMINA,3/16/2013,SRR619481,SRS376716,SRP016086,Aestivator 9,,,Australia: Queensland,,,,public
No,Cyclorana australis,RNA-Seq,202,PRJNA323970,SAMN05185334,SRX1944683,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Cyclorana australis (SAMA R63729),7/13/2016,3200,2056,ILLUMINA,7/18/2016,SRR3901720,SRS1497319,SRP076446,Cyclorana australis (SAMA R63729),missing,missing,missing,missing,missing,liver,public
No,Discoglossus pictus,RNA-Seq,502,PRJNA355364,SAMN06075438,SRX2382490,0,Illumina MiSeq,PAIRED,RANDOM,TRANSCRIPTOMIC,JP15,11/30/2016,3389,2403,ILLUMINA,7/25/2017,SRR5062013,SRS1824781,SRP094087,JP15,not collected,adult,Morocco,not applicable,not collected,mix of various organs,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956551,SRX1756843,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,MaleForeA,5/11/2016,9266,4351,ILLUMINA,6/1/2017,SRR3498298,SRS1433375,SRP074849,ForeMale,,Adult,,Male Forebrain,male,Forebrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956551,SRX1756844,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,MaleForeB,5/11/2016,18961,12092,ILLUMINA,6/1/2017,SRR3498299,SRS1433375,SRP074849,ForeMale,,Adult,,Male Forebrain,male,Forebrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956551,SRX1756853,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,MaleForeC,5/11/2016,9097,4291,ILLUMINA,6/1/2017,SRR3498308,SRS1433375,SRP074849,ForeMale,,Adult,,Male Forebrain,male,Forebrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956554,SRX1756845,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,FemaleForeB,5/11/2016,9977,4859,ILLUMINA,6/1/2017,SRR3498300,SRS1433376,SRP074849,ForeFemale,,Adult,,Female Forebrain,female,Forebrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956554,SRX1756846,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,FemaleForeC,5/11/2016,11524,7235,ILLUMINA,6/1/2017,SRR3498301,SRS1433376,SRP074849,ForeFemale,,Adult,,Female Forebrain,female,Forebrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956554,SRX1756926,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,FemaleForeA,5/11/2016,10586,5025,ILLUMINA,6/1/2017,SRR3498385,SRS1433376,SRP074849,ForeFemale,,Adult,,Female Forebrain,female,Forebrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956555,SRX1756847,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,FemaleMidA,5/11/2016,9183,4463,ILLUMINA,6/1/2017,SRR3498302,SRS1433377,SRP074849,MidFemale,,Adult,,Female Midbrain,female,Midbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956555,SRX1756848,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,FemaleMidB,5/11/2016,9576,4984,ILLUMINA,6/1/2017,SRR3498303,SRS1433377,SRP074849,MidFemale,,Adult,,Female Midbrain,female,Midbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956555,SRX1756849,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,FemaleMidC,5/11/2016,12702,8084,ILLUMINA,6/1/2017,SRR3498304,SRS1433377,SRP074849,MidFemale,,Adult,,Female Midbrain,female,Midbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956556,SRX1756850,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,FemaleHindA,5/11/2016,9221,4472,ILLUMINA,6/1/2017,SRR3498305,SRS1433378,SRP074849,HindFemale,,Adult,,Female Hindbrain,female,Hindbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956556,SRX1756851,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,FemaleHindB,5/11/2016,13368,8541,ILLUMINA,6/1/2017,SRR3498306,SRS1433378,SRP074849,HindFemale,,Adult,,Female Hindbrain,female,Hindbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956556,SRX1756852,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,FemaleHindC,5/11/2016,12091,7623,ILLUMINA,6/1/2017,SRR3498307,SRS1433378,SRP074849,HindFemale,,Adult,,Female Hindbrain,female,Hindbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956552,SRX1756859,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,MaleMidA,5/11/2016,9500,4565,ILLUMINA,6/1/2017,SRR3498309,SRS1433382,SRP074849,MidMale,,Adult,,Male Midbrain,male,Midbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956552,SRX1756861,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,MaleMidB,5/11/2016,13634,8568,ILLUMINA,6/1/2017,SRR3498316,SRS1433382,SRP074849,MidMale,,Adult,,Male Midbrain,male,Midbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956552,SRX1756862,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,MaleMidC,5/11/2016,9226,4350,ILLUMINA,6/1/2017,SRR3498317,SRS1433382,SRP074849,MidMale,,Adult,,Male Midbrain,male,Midbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956553,SRX1756863,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,MaleHindA,5/11/2016,9818,4581,ILLUMINA,6/1/2017,SRR3498318,SRS1433386,SRP074849,HindMale,,Adult,,Male Hindbrain,male,Hindbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956553,SRX1756870,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,MaleHindB,5/11/2016,9837,4854,ILLUMINA,6/1/2017,SRR3498325,SRS1433386,SRP074849,HindMale,,Adult,,Male Hindbrain,male,Hindbrain,public
No,Dryophytes cinereus,RNA-Seq,250,PRJNA320731,SAMN04956553,SRX1756877,0,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,MaleHindC,5/11/2016,10070,4935,ILLUMINA,6/1/2017,SRR3498326,SRS1433386,SRP074849,HindMale,,Adult,,Male Hindbrain,male,Hindbrain,public
Yes,Espadarana prosoblepon,RNA-Seq,547,PRJNA237648,SAMN02630904,SRX648210,0,454 GS FLX,SINGLE,cDNA,TRANSCRIPTOMIC,,7/9/2014,355,812,LS454,7/9/2014,SRR1509375,SRS655470,SRP044169,Espadarana prosoblepon intestine,adult,,,,not determined,intestine,public
No,Fejervarya cancrivora,RNA-Seq,200,PRJNA258254,SAMN02991095,SRX682848,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,4042,2650,ILLUMINA,8/19/2015,SRR1553362,SRS686337,SRP045588,94:ventral_skin,not collected,,,,not collected,ventral skin,public
No,Fejervarya cancrivora,RNA-Seq,200,PRJNA258254,SAMN02991096,SRX682852,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,5412,3492,ILLUMINA,8/19/2015,SRR1554291,SRS686341,SRP045588,94:brain,not collected,,,,not collected,brain,public
No,Fejervarya cancrivora,RNA-Seq,200,PRJNA258254,SAMN02991097,SRX682853,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,6140,3969,ILLUMINA,8/19/2015,SRR1553366,SRS686342,SRP045588,94:kidney,not collected,,,,not collected,kidney,public
No,Fejervarya cancrivora,RNA-Seq,200,PRJNA258254,SAMN02997428,SRX683576,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,5433,3537,ILLUMINA,8/19/2015,SRR1554288,SRS686770,SRP045588,95:ventral_skin,not collected,,,,not collected,ventral skin,public
No,Fejervarya cancrivora,RNA-Seq,200,PRJNA258254,SAMN02997430,SRX683578,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,6129,4428,ILLUMINA,8/19/2015,SRR1553365,SRS686772,SRP045588,95:brain,not collected,,,,not collected,brain,public
No,Fejervarya cancrivora,RNA-Seq,200,PRJNA258254,SAMN02997431,SRX683579,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,5635,3669,ILLUMINA,8/19/2015,SRR1554290,SRS686773,SRP045588,95:kidney,not collected,,,,not collected,kidney,public
No,Fejervarya limnocharis,RNA-Seq,200,PRJNA258254,SAMN02997432,SRX683581,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,7091,5114,ILLUMINA,8/19/2015,SRR1554293,SRS686775,SRP045588,86:ventral_skin,not collected,,,,not collected,ventral skin,public
No,Fejervarya limnocharis,RNA-Seq,200,PRJNA258254,SAMN02997433,SRX683582,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,9265,6697,ILLUMINA,8/19/2015,SRR1554295,SRS686776,SRP045588,86:brain,not collected,,,,not collected,brain,public
No,Fejervarya limnocharis,RNA-Seq,200,PRJNA258254,SAMN02997434,SRX683585,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,7633,5484,ILLUMINA,8/19/2015,SRR1554298,SRS686779,SRP045588,86:kidney,not collected,,,,not collected,kidney,public
No,Fejervarya limnocharis,RNA-Seq,200,PRJNA258254,SAMN02997435,SRX683587,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,6096,4371,ILLUMINA,8/19/2015,SRR1554299,SRS686780,SRP045588,87:ventral_skin,not collected,,,,not collected,ventral skin,public
No,Fejervarya limnocharis,RNA-Seq,200,PRJNA258254,SAMN02997436,SRX683592,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,6256,4451,ILLUMINA,8/19/2015,SRR1554301,SRS686782,SRP045588,87:brain,not collected,,,,not collected,brain,public
No,Fejervarya limnocharis,RNA-Seq,200,PRJNA258254,SAMN02997437,SRX683594,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,5651,3759,ILLUMINA,8/19/2015,SRR1554303,SRS686785,SRP045588,87:kidney,not collected,,,,not collected,kidney,public
No,Hoplobatrachus rugulosus,RNA-Seq,200,PRJNA258254,SAMN02997643,SRX683597,0,Illumina HiSeq 1500,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,7732,5306,ILLUMINA,8/19/2015,SRR1554305,SRS686788,SRP045588,wq:ventral_skin,not collected,,,,not collected,ventral skin,public
No,Hoplobatrachus rugulosus,RNA-Seq,200,PRJNA258254,SAMN02997644,SRX683598,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,5563,3856,ILLUMINA,8/19/2015,SRR1554306,SRS686789,SRP045588,wq:brain,not collected,,,,not collected,brain,public
No,Hoplobatrachus rugulosus,RNA-Seq,200,PRJNA258254,SAMN02997645,SRX683600,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,,12/24/2015,5604,3826,ILLUMINA,8/19/2015,SRR1554309,SRS686791,SRP045588,wq:kidney,not collected,,,,not collected,kidney,public
No,Hyla arborea,RNA-Seq,200,PRJNA196399,SAMN01999518,SRX265559,500,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,HaRef,11/12/2015,2104,1252,ILLUMINA,7/22/2015,SRR827704,SRS412623,SRP021099,HaRef,,adult,Switzerland: Lausanne,,male,,public
No,Hymenochirus boettgeri,RNA-Seq,100,PRJNA306175,SAMN04347402,SRX1487347,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,,12/16/2015,4543,2931,ILLUMINA,10/24/2016,SRR3021851,SRS1210261,SRP067468,GSM1974026,,,,,,,public
No,Hymenochirus boettgeri,RNA-Seq,100,PRJNA306175,SAMN04347400,SRX1487345,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,,12/16/2015,5997,3772,ILLUMINA,10/24/2016,SRR3021849,SRS1210262,SRP067468,GSM1974024,,,,,,,public
No,Hymenochirus boettgeri,RNA-Seq,100,PRJNA306175,SAMN04347401,SRX1487346,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,,12/16/2015,5400,3410,ILLUMINA,10/24/2016,SRR3021850,SRS1210263,SRP067468,GSM1974025,,,,,,,public
No,Hymenochirus boettgeri,RNA-Seq,100,PRJNA306175,SAMN04347399,SRX1487344,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,,12/16/2015,3786,2478,ILLUMINA,10/24/2016,SRR3021848,SRS1210264,SRP067468,GSM1974022,,,,,,,public
